phrase;topics1;topics2;topics3;topics4;topics5;;
Секретный код;Что такое секретный код ( General_About_Secret_Code);Получается (или дословно Можно войти) ( Local_Can_Enter);;;;;
Оплатить карту/Cколько я буду платить за свою карту в месяц;Условия ( Local_Conditions);Кредит ( Local_Credit);General Платеж по кредиту ( General_DIS);Платеж по кредитному продукту ( Local_DIS);;;
Несанкционированные звонки;General Мошенничество ( General_Fraud);Реклама ( Local_Advertising);Мошенничество ( Local_Fraud);;;;
Платеж в терминале;УВ Платеж (UV_Payment);Карта ( Local_Card);;;;;
Платил в АО, АМ;УВ Платеж (UV_Payment);Приложение или Онлайн ( Local_AM_Online);;;;;
Возврат денег / возврат за покупку;General Отмена платежа ( General_Cancel_Payment);;;;;;
Сколько я могу потратить денег;УВ Лимит (UV_Limit);Лимиты ( Local_Limits);;;;;
Не отображается перевод в операциях;Статус ( Local_Status);Не дошел (платеж) ( Local_Not_Received);;;;;
разблокировать карты приложение интернет банк ;General Разблокировать приложение ( General_Unlock_App);Нет доступа ( Local_No_Access);;;;;
Наличными в отделении;Заказ денег УКД ( Local_Zakaz_Dengi_UKD);;;;;;
так мне надо подключить приложение на другом устройстве;скачать/обновить ( Local_Download);;;;;;
у меня был займа денег;General МФО ( General_MFO);МФО ( Local_Current_MFO);;;;;
задолженнность по займу ;МФО ( Local_Current_MFO);;;;;;
мошеннические операции по моей карте;General Мошенничество_UNI ( General_Fraud_UNI);;;;;;
статус претензии;General Статус претензии ( General_ClaimStat);Узнать статус обращения ( Local_Claim_Status);;;;;
сервис банка/банковские услуги/продукты банка;Банковские услуги ( Local_Banking_Services);;;;;;
мне нужен оператор для физ лиц;Физлица ( Local_Person);;;;;;
Перенести номер/перейти со своим номеров;Перенести номер ( Local_Number_Transfer);;;;;;
Экстренный звонок/экстренно соедините с оператором/вопрос жизни и смерти;Экстренный вызов ( Local_Emergency_Call);;;;;;
Проблема с переводом;УВ Проблемы с переводами (UV_RemittanceProblems);Проблема с переводом ( Local_Cant_Transfer);;;;;
Связаться с оператором отделения;General Оператор ( General_Operator);Оператор (Operator);;;;;
Связаться с отделением банка/мне нужен номер филиала в городе сосновый бор;General Приветствие ( General_Hello);;;;;;
Подтвердить номер телефона;General_Подтверждение сим-карты ( General_Sim_Confirmation);подтверждение симкарты ( Local_Sim_Confirmation);;;;;
Изменить / отключить / увеличить / уменьшить лимиты на переводы;Вместо консультации на оператора;;;;;;
какой статус кредитки;Статус ( Local_Status);General Готовность карт ( General_TAKE_CARD) ;Готовность карт (CardReadiness);;;;
через сбербанк не получается провести оплату на  банк;Проблема с переводом ( Local_Cant_Transfer);;;;;;
банкомат завис;УВ Проблемы с банкоматами (UV_ATM_Problems);Проблема с банкоматом ( Local_ATM_Problem);Банкоматы ( Local_ATM);;;;
скажите когда придут вознаграждение за пригласи друга;Условия ( Local_Conditions);;;;;;
сколько остаток на депозитном счете ( вкладе);General Условия вклада ( Ge﻿neral_Condition_Vklad);;;;;;
Связь;"Мобильный оператор связи Банка « Мобайл»
( General_MVNO)";;;;;;
свяжи/связаться;General Оператор ( General_Operator);Оператор (Operator);;;;;
я бы хотела поменять в личном кабинете номер телефона;Онлайн ( Local_AO);Приложение ( Local_Application);;;;;
восстановить логин и пароль банк клиенту;Временный пароль ( Local_Temp_Password);;;;;;
Отключить все платные услуги/ Отключить все услуги;Без вопроса ( General_Whithout_Question);;;;;;
Какие у меня подключены услуги;Вместо консультации на оператора;;;;;;
Списание резерв по счету;УВ_ Странные операции (UV_ Strange_operation);;;;;;
узнать код для входа в онлайн приложение ;Нет доступа ( Local_No_Access);;;;;;
возврат переплаты по субсидии ижс ладно слать по договору солодиловой кристиной сергеевной;General Ипотека ( General_Mortgage);;;;;;
я вайлдберрис переслала первый раз в две тысячи и второй раз две тысячи зачислено было три тысячи/сумма получателю пришла меньше чем перевел;Проблема с переводом ( Local_Cant_Transfer);;;;;;
как погасить досрочно;General Досрочка УКД ( General_DOSROCHKA_UKD);Как оформить ( Local_How_To_Create);;;;;
хочу хочу отказаться от рассрочки;Вместо консультации на оператора;;;;;;
связь с оператором мошенники экстренный звонок (экстренный вызов + тематика - будет только тематика) ;General Мошенничество ( General_Fraud);Мошенничество ( Local_Fraud);;;;;
через телефон;Приложение или Онлайн ( Local_AM_Online);Приложение ( Local_Application);;;;;
Вопрос по зарплатной карте;УВ Дебетовая карта (UV_Debitcard);Дебетовая карта ( Local_Debit_Card);Зарплатный (счет/ карта) ( Local_Salary);General_ИЗК ( General_IZK);;;
 мобайл ;General_Мобильный оператор связи Банка « Мобайл» ( General_MVNO);Приложение или Онлайн ( Local_AM_Online);Приложение ( Local_Application);;;;
оплатить сотовую связь/мобильную;платеж ( Local_Payment);О способах пополнения ( Local_Repay_Credit);;;;;
 смарт;General_Смарт ( General_-Smart);смарт ( Local_Smart);;;;;
подписка кинопоиск/яндекс плюс;General Подписки ( General_Podpiski);Подписки ( Local_Podpiski);;;;;
что за подписка ;УВ Подписки (UV_Podpiski);;;;;;
объясните программу долгосрочных сбережений/ПДС;General Вклад ( General_Deposit);;;;;;
заявка;Статус ( Local_Status);;;;;;
кредитная заявка;Статус ( Local_Status);General Кредитные заявки ( General_KZ);;;;;
все операторы заняты;Оператор (Operator);General Оператор ( General_Operator);;;;;
Сколько денег на ипотечном счете/баланс ипотечного счета;General График Платежей Ипотеки ( General_Mortgage_payment);Ипотека ( Local_Mortgage);;;;;
Откуда задолженность;УВ_ Странные операции (UV_ Strange_operation);;;;;;
 подписка;УВ Подписки (UV_Podpiski);;;;;;
Кредит по кредитной карте;УВ Кредитная карта (UV_CreditCard);Кредитная картаКредитка ( Local_Credit_Card);Кредитная карта (именно карта) ( Local_CreditCard_Karta);;;;
Тарифы банка;Вместо консультации на оператора;;;;;;
Ограничения/снять ограничения;Без вопроса ( General_Whithout_Question);;;;;;
Активировать приложение;Нет доступа ( Local_No_Access);;;;;;
связь с оператором нужна по осаго;Условия ( Local_Conditions);;;;;;
азама займы могут через  банк сделать;Оформить займ ( Local_New_MFO);;;;;;
сим карта;Оператор связи ( Local_MVNO);General_Подтверждение сим-карты ( General_Sim_Confirmation);подтверждение симкарты ( Local_Sim_Confirmation);;;;
закрыть брокерский счет;Брокерский счет ( Local_Brokerage);General Инвестиции ( General_Investing);;;;;
Полное погашение кредита;Кредит ( Local_Credit);Кредит наличными (Про платеж) ( Local_DIS_Credit);;;;;
оплата налог;General Налоги ( General_Nalogi);платеж ( Local_Payment);;;;;
мне нужен оператор;Оператор (Operator);General Оператор ( General_Operator);;;;;
пусть позвонит мне специалист;General Оператор ( General_Operator);Оператор (Operator);;;;;
Забыл пароль\сменить пароль я не помню пароль;Временный пароль ( Local_Temp_Password);;;;;;
остаток узнать остаток денежных средств по кредиту;Кредит ( Local_Credit);;;;;;
рассказать о досрочном погашении кредита;Кредит ( Local_Credit);Кредит наличными (Про платеж) ( Local_DIS_Credit);;;;;
я хочу связаться с оператором;Оператор (Operator);General Оператор ( General_Operator);;;;;
заявка на досрочное погашение ипотечного кредита;Кредит ( Local_Credit);Ипотека ( Local_Mortgage);;;;;
кредитная карта беспроцентный период снятие наличных;General Проценты по КК ( General_Percent_Credit_Card);;;;;;
по поводу денег в рассрочку;General Рассрочка по дебетовой карте ( General_Installment_Debit_Card);Рассрочка ( Local_Installment);;;;;
Перенести карту в другое отделение;Отмена доставки карты в отделение ( General_Cancel_Card_Branch);;;;;;
Платеж в интернете не проходит ;Вместо консультации на оператора;;;;;;
Онлайн платеж не проходит ;УВ Платеж (UV_Payment);;;;;;
Неправильно снимают комиссию;УВ_ Странные операции (UV_ Strange_operation);;;;;;
до скольки работают операторы ;General Оператор ( General_Operator);Оператор (Operator);;;;;
снятие наличных в банкомате;General Банкоматы УКД ( General_ATM_UKD);Банкоматы ( Local_ATM);Снятие наличных ( Local_Cash_Withdrawal);;;;
Полное погашение;Полностью/по всем ( Local_Fully);;;;;;
Как мне погасить рассрочку частично двадцать тысяч ;Частично ( Local_Partly) ;Другой платеж ( Local_Other_Payment);;;;;
Погасить рассрочку частично (досрочно);Другой платеж ( Local_Other_Payment);Рассрочка ( Local_Installment);;;;;
Когда поступят деньги с момента возврата от ТСП прошло 15 дней;Вышел срок ( Local_Passed_Deadline);;;;;;
Задолженность по кредитной карте;Кредитная картаКредитка ( Local_Credit_Card);;;;;;
остаток узнать остаток по кредиту;Кредит наличными (Про платеж) ( Local_DIS_Credit);;;;;;
поменяла сим карту не дает доступ в онлайн банк;General Разблокировать приложение ( General_Unlock_App);Нет доступа ( Local_No_Access);;;;;
оплатила вчера;General Выписка ( General_BankStatement);Движение денежных средств ( Local_Transactions);;;;;
Я не Василий +  вопрос ;Вместо консультации на оператора;;;;;;
кредитный договор/договор;Без вопроса ( General_Whithout_Question);;;;;;
договор по страховке;УВ Страхование (UV_Insurance);Страхование ( Local_Insurance);;;;;
хочу поговорить;Оператор (Operator);General Оператор ( General_Operator);;;;;
статус дебетовой карты;General Готовность карт ( General_TAKE_CARD) ;Готовность карт (CardReadiness);;;;;
статус кредитной заявки ;Статус ( Local_Status);General Кредитные заявки ( General_KZ);;;;;
положено ли мне бонусы за;Кэшбэк ( Local_Cashback);Условия ( Local_Conditions);;;;;
бонусы;Кэшбэк ( Local_Cashback);;;;;;
как человек позвонил;General Мне звонили ( General_ReceivedCall);;;;;;
мне нужен код для входа в свой кабинет;Нет доступа ( Local_No_Access);;;;;;
не работает в приложении;Без вопроса ( General_Whithout_Question);;;;;;
Досудебная претензия;УВ Заявление (UV_Statement);;;;;;
Пришлите реквизиты в смс/номер счета в смс;Запрос кодового слова ( General_Codeword_request);;;;;;
который оформлен;Имеющийся кредит ( Local_Current_Credit);МФО ( Local_Current_MFO);;;;;
нужен сотрудник по ипотеке/ипотечный менеджер;General Оформление Ипотеки ( General_Reg_Mortage);;;;;;
не надо блокировать карту а у меня карта есть блин;Нет  (Disagree);Потерял карту ( Local_Lost_Card);;;;;
все заблокировать;General Разблокировать карту ( General_UnBlock);;;;;;
Закрыть все счета ;Баланс карты/счета ( Local_Balance);;;;;;
Закрыть последний счет;Баланс карты/счета ( Local_Balance);;;;;;
Текущий счет и брокерский;Баланс карты/счета ( Local_Balance);;;;;;
Текущий счет и кредитный ;Баланс карты/счета ( Local_Balance);УВ Счет (UV_Account);;;;;
на мой номер телефона привязан другой человек;General Мошенничество_UNI ( General_Fraud_UNI);;;;;;
не поступил платеж;УВ Платеж (UV_Payment);;;;;;
когда на вас в суд позови оператора;УВ Заявление (UV_Statement);;;;;;
покупка, купить, как купить, про покупку, сделать покупку;Как купить ЦФА ( Local_DFA_BUY);;;;;;
заявку на кредит отменить заявку на кредит;General_Отмена кредитной заявки ( General_Cancel_Loan_Claim);;;;;;
мой номер изменен на другой номер я его не меняла;General Мошенничество ( General_Fraud);Мошенничество ( Local_Fraud);;;;;
кто то изменил мой номер телефона;General Мошенничество_UNI ( General_Fraud_UNI);;;;;;
не могу зайти в личный кабинет пишет поменял номер телефона я не менял номер телефона;General Разблокировать приложение ( General_Unlock_App);Нет доступа ( Local_No_Access);;;;;
Текущий счет;Текущий счет ( Local_Current_Account);УВ Счет (UV_Account);;;;;
Счет кредита;УВ Счет (UV_Account);Кредит ( Local_Credit);;;;;
Счет ипотеки;Ипотека ( Local_Mortgage);General Оформление Ипотеки ( General_Reg_Mortage);;;;;
Проблема с приложением/ Не работает приложение;АМ Подключение ( General_AM_Connection);Нет доступа ( Local_No_Access);;;;;
вопрос блокировки карты и всех операций по счетам;Вместо консультации на оператора;;;;;;
у меня странная смска пришла о смене номера я ничего не меняла;General Мошенничество ( General_Fraud);Мошенничество ( Local_Fraud);;;;;
спасибо да конечно;Да (Agree);;;;;;
