phrase,topics1,topics2,topics3,topics4,topics5,topics6,topics7
Банкомат не зачислил деньги ,Не зачислил деньги на карту (Local_Didnt_Money_On_Card),Банкоматы (Local_ATM),УВ Проблемы с банкоматами (UV_ATM_Problems),,,,🞄21.07.2025
Отменить покупку,Отменить платеж (Local_Cancel_Payment),General Отмена платежа (General_Cancel_Payment),,,,,🞄21.07.2025
Не могу войти в личный кабинет не приходит ли код доступа,Временный пароль (Local_Temp_Password),General АМ Подключение (General_AM_Connection),,,,,🞄21.07.2025
Не получается зайти по номеру карты и по номеру телефона,Временный пароль (Local_Temp_Password),General АМ Подключение (General_AM_Connection),,,,,🞄21.07.2025
Первое первое временный пароль,Первое (Local_First),Временный пароль (Local_Temp_Password),General АМ Подключение (General_AM_Connection),,,,🞄21.07.2025
С банкомата не могу снять по карте наличные,Не выдал деньги (Local_Didnt_Give_Money),Банкоматы (Local_ATM),УВ Проблемы с банкоматами (UV_ATM_Problems),,,,🞄21.07.2025
войти по пароль,Временный пароль (Local_Temp_Password),General АМ Подключение (General_AM_Connection),,,,,🞄21.07.2025
Пароль|нужен пароль,Временный пароль (Local_Temp_Password),General Без вопроса (General_Whithout_Question),,,,,🞄21.07.2025
Переводила я с другого банка себе на альфа банк,Статус (Local_Status),Мне (переводили) (Local_To_Me),УВ Перевод (UV_Remittance),,,,🞄21.07.2025
Я случайно оплатила заказ два раза,Отменить платеж (Local_Cancel_Payment),Вернуть деньги (Local_Return_Money),General Отмена платежа (General_Cancel_Payment),,,,🞄21.07.2025
Сделали новую карту прошло два дня деньги так и не приходят на счет,Не зачислил деньги на карту (Local_Didnt_Money_On_Card),Не дошел (платеж) (Local_Not_Received),Когда поступят деньги (Local_Get_Money),Проблема (Local_Some_Problems),General Без вопроса (General_Whithout_Question),,🞄21.07.2025
Проблема,Проблема (Local_Some_Problems),Проблема с банкоматом (Local_ATM_Problem),Проблема с переводом (Local_Cant_Transfer),General Без вопроса (General_Whithout_Question),,,🞄21.07.2025
Первое/второе + понятная фраза,Локал первое/второе + тематика,,,,,,🞄21.07.2025
"Да,Нет не ставим только с Вместо консультации оператора",,,,,,,🞄21.07.2025
График работы отделения,General График работы УКД (General_GRAFIK_OFFICE_UKD),Отделение (Local_Bank_Branch),,,,,🞄21.07.2025
Набор цифр ( пять сорок восемьсот)  + оператор,Цифры (Numbers),General Оператор (General_Operator),,,,,🞄21.07.2025
Сумма кратная 1000 (шестьсот тысяч),Более 500 тыс. ₽ (Local_More_500),займы более 100 тыс (Local_MoreNumbers ),General Без вопроса (General_Whithout_Question),,,,🞄21.07.2025
Узнать сумму для закрытия кредита,Кредит наличными (Про платеж) (Local_DIS_Credit),General Платеж по кредиту (General_DIS),,,,,🞄21.07.2025
Я не спрашиваю о комиссии за снятие или переводы я говорю о комиссии которую с меня списали просто,УВ Странные операции (UV_Strange_Operation),,,,,,🞄21.07.2025
Возникли проблемы с награждением нет кэшбэка,Проблема (Local_Some_Problems),Кэшбэк (Local_Cashback),General Кэшбэк (General_CashBack),,,,🞄21.07.2025
Сколько потраченных денег мне связаться с оператором,General Выписка (General_BankStatement),Движение денежных средств (Local_Transactions),,,,,🞄21.07.2025
Мне пришли деньги не на тот счет,General Между Счетами УКД (General_MEZHDU_SCHETAMI_UKD),,,,,,🞄21.07.2025
Частичное погашение,Частично (Local_Partly) ,General Досрочка (General_PDP),,,,,🞄21.07.2025
Страховка по кредитной карте | страховка по кредиту,УВ Страхование (UV_Insurance),Страхование (Local_Insurance),,,,,🞄21.07.2025
Рассказать о действующий,Действующая карта (CurrentCard),Имеющийся кредит (Local_Current_Credit),МФО (Local_Current_MFO),General Без вопроса (General_Whithout_Question),,,🞄21.07.2025
Убрать,Отказаться (Local_Refuse),General Без вопроса (General_Whithout_Question),,,,,🞄21.07.2025
Отменить,Отказаться (Local_Refuse),Отменить перевод (Local_Cancel_Transfer_Payment),Отменить платеж (Local_Cancel_Payment),General Без вопроса (General_Whithout_Question),,,🞄21.07.2025
Лимит внесение наличных,Вместо консультации на оператора,,,,,,🞄21.07.2025
узнать статус карты ,Статус (Local_Status),General Готовность карт (General_TAKE_CARD),Готовность карт (CardReadiness),,,,🞄21.07.2025
Авторизовать номер телефона,General Подтверждение сим-карты (General_Sim_Confirmation),подтверждение симкарты (Local_Sim_Confirmation),,,,,🞄21.07.2025
вопрос по карте по карте пришло сообщение,УВ Карта (UV_Card),Карта (Local_Card),,,,,🞄21.07.2025
Оформила зп карту ,УВ Дебетовая карта (UV_Debitcard),Дебетовая карта (Local_Debit_Card),Зарплатный (счет/ карта) (Local_Salary),General ИЗК (General_IZK),,,🞄21.07.2025
Кредитная альфа карта| альфа кредитная карта,УВ Кредитная карта (UV_CreditCard),Кредитная картаКредитка (Local_Credit_Card),Кредитная карта (именно карта) (Local_CreditCard_Karta),,,,🞄21.07.2025
Не заходит в приложение говорит что поменялся номер телефона ,General Смена номера телефона (General_Change_phone),Привязать номер (Local_Bind_Number),,,,,🞄21.07.2025
Альфа Онлайн,General АМ Подключение (General_AM_Connection),Приложение или Альфа-Онлайн (Local_AM_Online),Альфа-Онлайн (Local_AO),,,,🞄21.07.2025
Клиент банк,General АМ Подключение (General_AM_Connection),Приложение или Альфа-Онлайн (Local_AM_Online),Приложение (Local_Application),Альфа-Онлайн (Local_AO),,,🞄21.07.2025
Заблокировали номер телефона,General Подтверждение сим-карты (General_Sim_Confirmation),подтверждение симкарты (Local_Sim_Confirmation),,,,,🞄21.07.2025
Не зачислил деньги,Не зачислил деньги на карту (Local_Didnt_Money_On_Card),General Без вопроса (General_Whithout_Question),,,,,🞄21.07.2025
Набор цифр + тематика,Тематика ,,,,,,🞄21.07.2025
Незаконно снимают комиссию,УВ Странные операции (UV_Strange_Operation),,,,,,🞄21.07.2025
Счет кредитной карты,Кредитная картаКредитка (Local_Credit_Card),Счет кредитной карты (Local_CreditCard_Account),УВ Счет (UV_Account),,,,🞄21.07.2025
Терминал,Терминалы партнеров (Local_PartnerSalon_PaymentTerminal),General Юрики (General_Entity),,,,,🞄21.07.2025
Перевод | сделать перевод,УВ Перевод (UV_Remittance),Перевод (Local_Remittance),,,,,🞄21.07.2025
Я переводил,Я (переводил) (Local_I_Did),Статус (Local_Status),УВ Перевод (UV_Remittance),,,,🞄21.07.2025
Расторгнуть договор по договору альфа банка,Альфа-Банк (Local_Alfabank),General Расторжение кредитного договора (General_Credit_close_UKD),,,,,🞄21.07.2025
Мне перевели | я переводил себе на альфу,Мне (переводили) (Local_To_Me),Статус (Local_Status),УВ Перевод (UV_Remittance),,,,🞄21.07.2025
Переводил| был перевод | сделал перевод | я переводил себе,Статус (Local_Status),УВ Перевод (UV_Remittance),,,,,🞄21.07.2025
Хочу получить кредитную карту,УВ Кредитная карта (UV_CreditCard),Кредитная картаКредитка (Local_Credit_Card),,,,,🞄21.07.2025
Процент,General Без вопроса (General_Whithout_Question),,,,,,🞄21.07.2025
Хочу узнать о процентной ставке,Условия (Local_Conditions),General Без вопроса (General_Whithout_Question),,,,,🞄21.07.2025
"Маты, обзывание, ругательство (кожаный, петух, блять) и да",Да (Agree),Невозможно определить,,,,,🞄21.07.2025
Положила деньги но их на карте нет,Не зачислил деньги на карту (Local_Didnt_Money_On_Card),Не дошел (платеж) (Local_Not_Received),Статус (Local_Status),General Без вопроса (General_Whithout_Question),,,🞄21.07.2025
неправильная сумма|неверный процент,Не правильные начисления (Local_Incorrect_Accrual),General Без вопроса (General_Whithout_Question),,,,,🞄21.07.2025
Не пришли проценты,Не дошел (платеж) (Local_Not_Received),General Без вопроса (General_Whithout_Question),,,,,🞄21.07.2025
"Мне звонили, пытаются оформить кредит (то есть попытка)",General Мошенничество (General_Fraud),Мошенничество (Local_Fraud),,,,,🞄21.07.2025
Меня обманули мошенники| у меня мошеннические действия происходят,General Мошенничество (General_Fraud),Мошенничество (Local_Fraud),,,,,🞄21.07.2025
получить секретный код,General Настроить секретный код (General_Setup_Secret_Code) ,,,,,,🞄21.07.2025
корпоративная карта,General Юрики (General_Entity),Юрлица (Local_Business),,,,,🞄21.07.2025
"как узнать зашел ли транш второй от банка|
получить транш",General Юрики (General_Entity),Юрлица (Local_Business),,,,,🞄21.07.2025
Не работает терминал | не проходит оплата по терминалу | не проходит оплата по эквайрингу,General Юрики (General_Entity),Юрлица (Local_Business),,,,,🞄21.07.2025
по задолженности|не гасится задолженность| условия дату суммы платежа,General Платеж по кредиту (General_DIS),Кредит (Local_Credit),Платеж по кредитному продукту (Local_DIS),,,,🞄21.07.2025
Секретный код,General Что такое секретный код (General_About_Secret_Code),Получается (или дословно Можно войти) (Local_Can_Enter),,,,,🞄21.07.2025
Оплатить карту|Cколько я буду платить за свою карту в месяц,Условия (Local_Conditions),Кредит (Local_Credit),General Платеж по кредиту (General_DIS),Платеж по кредитному продукту (Local_DIS),,,🞄21.07.2025
Несанкционированные звонки,General Мошенничество (General_Fraud),Реклама (Local_Advertising),Мошенничество (Local_Fraud),,,,🞄21.07.2025
Платеж в терминале,УВ Платеж (UV_Payment),Карта (Local_Card),,,,,🞄21.07.2025
"Платил в АО, АМ",УВ Платеж (UV_Payment),Приложение или Альфа-Онлайн (Local_AM_Online),,,,,🞄21.07.2025
Возврат денег | возврат за покупку,General Отмена платежа (General_Cancel_Payment),,,,,,🞄21.07.2025
Сколько я могу потратить денег,УВ Лимит (UV_Limit),Лимиты (Local_Limits),,,,,🞄21.07.2025
Не отображается перевод в операциях,Статус (Local_Status),Не дошел (платеж) (Local_Not_Received),УВ Проблемы с переводами (UV_RemittanceProblems),,,,🞄21.07.2025
разблокировать карты приложение интернет банк ,General Разблокировать приложение (General_Unlock_App),Нет доступа (Local_No_Access),,,,,🞄21.07.2025
Наличными в отделении,Заказ денег УКД (Local_Zakaz_Dengi_UKD),,,,,,🞄21.07.2025
так мне надо подключить приложение на другом устройстве,скачать/обновить (Local_Download),General АМ Подключение (General_AM_Connection),,,,,🞄21.07.2025
у меня был займа денег,General МФО (General_MFO),МФО (Local_Current_MFO),,,,,🞄21.07.2025
задолженнность по займу ,МФО (Local_Current_MFO),General Платеж по кредиту (General_DIS),,,,,🞄21.07.2025
мошеннические операции по моей карте,General Мошенничество_UNI (General_Fraud_UNI),,,,,,🞄21.07.2025
статус претензии,General Статус претензии (General_ClaimStat),Узнать статус обращения (Local_Claim_Status),,,,,🞄21.07.2025
сервис банка|банковские услуги|продукты банка,Банковские услуги (Local_Banking_Services),General Без вопроса (General_Whithout_Question),,,,,🞄21.07.2025
мне нужен оператор для физ лиц,Физлица (Local_Person),General Оператор (General_Operator),,,,,🞄21.07.2025
Перенести номер|перейти со своим номеров,Перенести номер (Local_Number_Transfer),General Мобильный оператор связи Альфа-Банка «Альфа Мобайл» (General_MVNO),,,,,🞄21.07.2025
Экстренный звонок с оператором,Экстренный вызов (Local_Emergency_Call),General Оператор (General_Operator),,,,,🞄21.07.2025
Экстренный звонок|вопрос жизни и смерти,Экстренный вызов (Local_Emergency_Call),General Без вопроса (General_Whithout_Question),,,,,🞄21.07.2025
Проблема с переводом,УВ Проблемы с переводами (UV_RemittanceProblems),Проблема с переводом (Local_Cant_Transfer),,,,,🞄21.07.2025
Связаться с оператором отделения,General Оператор (General_Operator),Оператор (Operator),,,,,🞄21.07.2025
Связаться с отделением банка|мне нужен номер филиала в городе сосновый бор,General Приветствие (General_Hello),,,,,,🞄21.07.2025
Подтвердить номер телефона,General Подтверждение сим-карты (General_Sim_Confirmation),подтверждение симкарты (Local_Sim_Confirmation),,,,,🞄21.07.2025
Изменить / отключить / увеличить / уменьшить лимиты на переводы,Вместо консультации на оператора,,,,,,🞄21.07.2025
какой статус кредитки,Статус (Local_Status),General Готовность карт (General_TAKE_CARD),Готовность карт (CardReadiness),,,,🞄21.07.2025
через сбербанк не получается провести оплату на альфа банк,Проблема с переводом (Local_Cant_Transfer),УВ Проблемы с переводами (UV_RemittanceProblems),,,,,🞄21.07.2025
банкомат завис,УВ Проблемы с банкоматами (UV_ATM_Problems),Проблема с банкоматом (Local_ATM_Problem),Банкоматы (Local_ATM),,,,🞄21.07.2025
скажите когда придут вознаграждение за пригласи друга,Условия (Local_Conditions),General Кэшбэк (General_CashBack),,,,,🞄21.07.2025
сколько остаток на депозитном счете ( вкладе),General Условия вклада (Ge﻿neral_Condition_Vklad),,,,,,🞄21.07.2025
Связь,General Мобильный оператор связи Альфа-Банка «Альфа Мобайл» (General_MVNO),,,,,,🞄21.07.2025
свяжи|связаться,General Оператор (General_Operator),Оператор (Operator),,,,,🞄21.07.2025
я бы хотела поменять в личном кабинете номер телефона,Альфа-Онлайн (Local_AO),Приложение (Local_Application),General Смена номера телефона (General_Change_phone),,,,🞄21.07.2025
восстановить логин и пароль банк клиенту,Временный пароль (Local_Temp_Password),General АМ Подключение (General_AM_Connection),,,,,🞄21.07.2025
Отключить все платные услуги| Отключить все услуги,General Без вопроса (General_Whithout_Question),,,,,,🞄21.07.2025
Какие у меня подключены услуги,Вместо консультации на оператора,,,,,,🞄21.07.2025
Списание резерв по счету,УВ Странные операции (UV_Strange_Operation),,,,,,🞄21.07.2025
узнать код для входа в онлайн приложение ,Нет доступа (Local_No_Access),General АМ Подключение (General_AM_Connection),,,,,🞄21.07.2025
возврат переплаты по субсидии ижс ладно слать по договору солодиловой кристиной сергеевной,General Ипотека (General_Mortgage),,,,,,🞄21.07.2025
я вайлдберрис переслала первый раз в две тысячи и второй раз две тысячи зачислено было три тысячи|сумма получателю пришла меньше чем перевел,Проблема с переводом (Local_Cant_Transfer),УВ Проблемы с переводами (UV_RemittanceProblems),,,,,🞄21.07.2025
как погасить досрочно,General Досрочка УКД (General_DOSROCHKA_UKD),Как оформить (Local_How_To_Create),,,,,🞄21.07.2025
хочу хочу отказаться от рассрочки,Вместо консультации на оператора,,,,,,🞄21.07.2025
связь с оператором мошенники экстренный звонок (экстренный вызов + тематика - будет только тематика) ,General Мошенничество (General_Fraud),Мошенничество (Local_Fraud),,,,,🞄21.07.2025
Через телефон,Приложение или Альфа-Онлайн (Local_AM_Online),Приложение (Local_Application),General Без вопроса (General_Whithout_Question),,,,🞄21.07.2025
Вопрос по зарплатной карте,УВ Дебетовая карта (UV_Debitcard),Дебетовая карта (Local_Debit_Card),Зарплатный (счет/ карта) (Local_Salary),,,,🞄21.07.2025
альфа мобайл ,General Мобильный оператор связи Альфа-Банка «Альфа Мобайл» (General_MVNO),Приложение или Альфа-Онлайн (Local_AM_Online),Приложение (Local_Application),,,,🞄21.07.2025
оплатить мобильную/сотовую связь,платеж (Local_Payment),О способах пополнения (Local_Repay_Credit),General Мобильный оператор связи Альфа-Банка «Альфа Мобайл» (General_MVNO),,,,🞄21.07.2025
альфа смарт,General Альфа-Смарт (General_Alfa-Smart),Альфа смарт (Local_Smart),,,,,🞄21.07.2025
подписка кинопоиск/яндекс плюс,General Подписки (General_Podpiski),Подписки (Local_Podpiski),,,,,🞄21.07.2025
что за подписка ,УВ Подписки (UV_Podpiski),,,,,,🞄21.07.2025
объясните программу долгосрочных сбережений|ПДС,General Вклад (General_Deposit),,,,,,🞄21.07.2025
Заявка,Статус (Local_Status),General Без вопроса (General_Whithout_Question),,,,,🞄21.07.2025
кредитная заявка,Статус (Local_Status),General Кредитные заявки (General_KZ),,,,,🞄21.07.2025
все операторы заняты,Оператор (Operator),General Оператор (General_Operator),,,,,🞄21.07.2025
Сколько денег на ипотечном счете|баланс ипотечного счета,General График Платежей Ипотеки (General_Mortgage_payment),Ипотека (Local_Mortgage),,,,,🞄21.07.2025
Откуда задолженность,УВ Странные операции (UV_Strange_Operation),,,,,,🞄21.07.2025
Альфа подписка,УВ Подписки (UV_Podpiski),,,,,,🞄21.07.2025
Кредит по кредитной карте,УВ Кредитная карта (UV_CreditCard),Кредитная картаКредитка (Local_Credit_Card),Кредитная карта (именно карта) (Local_CreditCard_Karta),,,,🞄21.07.2025
Тарифы банка,Вместо консультации на оператора,,,,,,🞄21.07.2025
Ограничения|снять ограничения,General Без вопроса (General_Whithout_Question),,,,,,🞄21.07.2025
Активировать приложение,Нет доступа (Local_No_Access),General АМ Подключение (General_AM_Connection),,,,,🞄21.07.2025
связь с оператором нужна по осаго,Условия (Local_Conditions),УВ Страхование (UV_Insurance),,,,,🞄21.07.2025
азама займы могут через альфа банк сделать,Оформить займ (Local_New_MFO),General МФО (General_MFO),,,,,🞄21.07.2025
сим карта,Оператор связи (Local_MVNO),General Мобильный оператор связи Альфа-Банка «Альфа Мобайл» (General_MVNO),подтверждение симкарты (Local_Sim_Confirmation),,,,🞄21.07.2025
Закрыть брокерский счет,Брокерский счет (Local_Brokerage),General Инвестиции (General_Investing),,,,,🞄21.07.2025
Досрочное погашение,General Досрочка (General_PDP),Досрочка (Local_Dosrochka),,,,,🞄21.07.2025
Полное погашение кредита,Кредит (Local_Credit),Кредит наличными (Про платеж) (Local_DIS_Credit),General Досрочка (General_PDP),,,,🞄21.07.2025
Оплата налог,General Налоги (General_Nalogi),платеж (Local_Payment),,,,,🞄21.07.2025
Мне нужен оператор,Оператор (Operator),General Оператор (General_Operator),,,,,🞄21.07.2025
Пусть позвонит мне специалист,General Оператор (General_Operator),Оператор (Operator),,,,,🞄21.07.2025
Забыл пароль|сменить пароль я не помню пароль,Временный пароль (Local_Temp_Password),General Без вопроса (General_Whithout_Question),,,,,🞄21.07.2025
Остаток узнать остаток денежных средств по кредиту,Кредит (Local_Credit),General Баланс (General_Balance),,,,,🞄21.07.2025
Рассказать о досрочном погашении кредита,Кредит (Local_Credit),Кредит наличными (Про платеж) (Local_DIS_Credit),General Досрочка (General_PDP),,,,🞄21.07.2025
Я хочу связаться с оператором,Оператор (Operator),General Оператор (General_Operator),,,,,🞄21.07.2025
заявка на досрочное погашение ипотечного кредита,Кредит (Local_Credit),Ипотека (Local_Mortgage),General Досрочка (General_PDP),,,,🞄21.07.2025
кредитная карта беспроцентный период снятие наличных,General Проценты по КК (General_Percent_Credit_Card),,,,,,🞄21.07.2025
по поводу денег в рассрочку,General Рассрочка по дебетовой карте (General_Installment_Debit_Card),Рассрочка (Local_Installment),,,,,🞄21.07.2025
Перенести карту в другое отделение,General Отмена доставки карты в отделение (General_Cancel_Card_Branch),,,,,,🞄21.07.2025
Платеж в интернете не проходит ,Вместо консультации на оператора,,,,,,🞄21.07.2025
Онлайн платеж не проходит ,УВ Платеж (UV_Payment),,,,,,🞄21.07.2025
Неправильно снимают комиссию,УВ Странные операции (UV_Strange_Operation),,,,,,🞄21.07.2025
до скольки работают операторы ,General Оператор (General_Operator),Оператор (Operator),,,,,🞄21.07.2025
снятие наличных в банкомате,General Банкоматы УКД (General_ATM_UKD),Банкоматы (Local_ATM),Снятие наличных (Local_Cash_Withdrawal),,,,🞄21.07.2025
Полное погашение,Полностью/по всем (Local_Fully),General Досрочка (General_PDP),,,,,🞄21.07.2025
Как мне погасить рассрочку частично двадцать тысяч ,Частично (Local_Partly) ,Другой платеж (Local_Other_Payment),General Досрочка УКД (General_DOSROCHKA_UKD),,,,🞄21.07.2025
Погасить рассрочку частично (досрочно),Другой платеж (Local_Other_Payment),Рассрочка (Local_Installment),General Досрочка (General_PDP),,,,🞄21.07.2025
Когда поступят деньги с момента возврата от ТСП прошло 15 дней,Вышел срок (Local_Passed_Deadline),General Отмена платежа (General_Cancel_Payment),,,,,🞄21.07.2025
Задолженность по кредитной карте,Кредитная картаКредитка (Local_Credit_Card),General Платеж по кредиту (General_DIS),,,,,🞄21.07.2025
остаток узнать остаток по кредиту,Кредит наличными (Про платеж) (Local_DIS_Credit),General Платеж по кредиту (General_DIS),,,,,🞄21.07.2025
поменяла сим карту не дает доступ в онлайн банк,General Разблокировать приложение (General_Unlock_App),Нет доступа (Local_No_Access),,,,,🞄21.07.2025
оплатила вчера,General Выписка (General_BankStatement),Движение денежных средств (Local_Transactions),,,,,🞄21.07.2025
Я не Василий +  вопрос ,Вместо консультации на оператора,,,,,,🞄21.07.2025
кредитный договор| договор,General Без вопроса (General_Whithout_Question),,,,,,🞄21.07.2025
договор по страховке,УВ Страхование (UV_Insurance),Страхование (Local_Insurance),,,,,🞄21.07.2025
хочу поговорить,Оператор (Operator),General Оператор (General_Operator),,,,,🞄21.07.2025
статус дебетовой карты,General Готовность карт (General_TAKE_CARD),Готовность карт (CardReadiness),,,,,🞄21.07.2025
статус кредитной заявки ,Статус (Local_Status),General Кредитные заявки (General_KZ),,,,,🞄21.07.2025
положено ли мне бонусы за,Кэшбэк (Local_Cashback),Условия (Local_Conditions),General Условия категорийного КБ (General_Categorical_CashBack),,,,🞄21.07.2025
бонусы,Кэшбэк (Local_Cashback),General Условия категорийного КБ (General_Categorical_CashBack),,,,,🞄21.07.2025
как человек позвонил,General Мне звонили (General_ReceivedCall),,,,,,🞄21.07.2025
мне нужен код для входа в свой кабинет,Нет доступа (Local_No_Access),General АМ Подключение (General_AM_Connection),,,,,🞄21.07.2025
не работает в приложении,General Без вопроса (General_Whithout_Question),,,,,,🞄21.07.2025
Досудебная претензия,УВ Заявление (UV_Statement),,,,,,🞄21.07.2025
Пришлите реквизиты в смс| Пришлите номер счета в смс,General Запрос кодового слова (General_Codeword_request),,,,,,🞄21.07.2025
который оформлен,Имеющийся кредит (Local_Current_Credit),МФО (Local_Current_MFO),General Без вопроса (General_Whithout_Question),,,,🞄21.07.2025
нужен сотрудник по ипотеке|ипотечный менеджер,General Оформление Ипотеки (General_Reg_Mortage),Ипотека (Local_Mortgage),,,,,🞄21.07.2025
не надо блокировать карту а у меня карта есть блин,Нет  (Disagree),Потерял карту (Local_Lost_Card),General Блокировка (General_Block),,,,🞄21.07.2025
все заблокировать,General Разблокировать карту (General_UnBlock),,,,,,🞄21.07.2025
Закрыть все счета ,Баланс карты/счета (Local_Balance),General Закрытие счета (General_Account_Off),,,,,🞄21.07.2025
Закрыть последний счет,Баланс карты/счета (Local_Balance),General Закрытие счета (General_Account_Off),,,,,🞄21.07.2025
Текущий счет и брокерский,Баланс карты/счета (Local_Balance),General Без вопроса (General_Whithout_Question),,,,,🞄21.07.2025
Текущий счет и кредитный ,Баланс карты/счета (Local_Balance),УВ Счет (UV_Account),,,,,🞄21.07.2025
на мой номер телефона привязан другой человек,General Мошенничество_UNI (General_Fraud_UNI),,,,,,🞄21.07.2025
не поступил платеж,УВ Платеж (UV_Payment),,,,,,🞄21.07.2025
когда на вас в суд позови оператора,УВ Заявление (UV_Statement),,,,,,🞄21.07.2025
"покупка, купить, как купить, про покупку, сделать покупку",Как купить ЦФА (Local_DFA_BUY),General Без вопроса (General_Whithout_Question),,,,,🞄21.07.2025
заявку на кредит отменить заявку на кредит,General Отмена кредитной заявки (General_Cancel_Loan_Claim),,,,,,🞄21.07.2025
мой номер изменен на другой номер я его не меняла,General Мошенничество (General_Fraud),Мошенничество (Local_Fraud),,,,,🞄21.07.2025
кто то изменил мой номер телефона,General Мошенничество_UNI (General_Fraud_UNI),,,,,,🞄21.07.2025
не могу зайти в личный кабинет пишет поменял номер телефона я не менял номер телефона,General Разблокировать приложение (General_Unlock_App),Нет доступа (Local_No_Access),,,,,🞄21.07.2025
Текущий счет,Текущий счет (Local_Current_Account),УВ Счет (UV_Account),,,,,🞄21.07.2025
Счет кредита,УВ Счет (UV_Account),Кредит (Local_Credit),,,,,🞄21.07.2025
Счет ипотеки,Ипотека (Local_Mortgage),General Оформление Ипотеки (General_Reg_Mortage),,,,,🞄21.07.2025
Проблема с приложением|Не работает приложение,General АМ Подключение (General_AM_Connection),Нет доступа (Local_No_Access),,,,,🞄21.07.2025
вопрос блокировки карты и всех операций по счетам,Вместо консультации на оператора,,,,,,🞄21.07.2025
у меня странная смска пришла о смене номера я ничего не меняла,General Мошенничество (General_Fraud),Мошенничество (Local_Fraud),,,,,🞄21.07.2025
спасибо да конечно,Да (Agree),General Без вопроса (General_Whithout_Question),,,,,🞄21.07.2025
не могу снять деньги с карты карты не существует,УВ Снятие наличных (UV_CashWithdrawal),Снятие наличных (Local_Cash_Withdrawal),Не выдал деньги (Local_Didnt_Give_Money),,,,🞄21.07.2025
не принимает деньги,General Без вопроса (General_Whithout_Question),,,,,,🞄21.07.2025
оспорить операцию,Отменить платеж (Local_Cancel_Payment),Отменить перевод (Local_Cancel_Transfer_Payment),General Без вопроса (General_Whithout_Question),,,,🞄21.07.2025
входил|заходил,General Без вопроса (General_Whithout_Question),,,,,,🞄21.07.2025
зайти|войти,Нет доступа (Local_No_Access),General АМ Подключение (General_AM_Connection),,,,,
захожу|вхожу,Нет доступа (Local_No_Access),General АМ Подключение (General_AM_Connection),,,,,🞄21.07.2025
спасибо да/нет,да/нет,General Без вопроса (General_Whithout_Question),,,,,🞄21.07.2025
Здравствуйте да/нет,да/нет,General Приветствие (General_Hello),,,,,🞄21.07.2025
